net,length_um
eFPGA_top_i.eFPGA_inst.Tile_X7Y2_N2BEGb\[2\],536.91µm
net172,535.71µm
_0374_,534.5µm
eFPGA_top_i.FrameData\[215\],529.11µm
_0454_,527.42µm
eFPGA_top_i.FrameData\[379\],527.06µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y2_N4BEG\[11\],525.18µm
eFPGA_top_i.FrameSelect\[133\],522.26µm
eFPGA_top_i.FrameData\[453\],521.78µm
eFPGA_top_i.FrameData\[275\],521.2µm
eFPGA_top_i.FrameData\[32\],519.55µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y14_W6BEG\[10\],519.53µm
eFPGA_top_i.FrameData\[452\],517.15µm
eFPGA_top_i.eFPGA_inst.Tile_X8Y1_E6BEG\[0\],517.08µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y13_FAB2RAM_D1_O0,516.76µm
eFPGA_top_i.FrameData\[256\],515.92µm
eFPGA_top_i.FrameSelect\[14\],514.68µm
eFPGA_top_i.FrameData\[248\],512.25µm
net101,506.7µm
eFPGA_top_i.FrameData\[462\],504.93µm
eFPGA_top_i.FrameSelect\[10\],504.16µm
_0453_,503.54µm
net99,503.17µm
eFPGA_top_i.FrameData\[199\],500.94µm
eFPGA_top_i.FrameData\[442\],500.41µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_B_T_top,499.09µm
eFPGA_top_i.eFPGA_inst.Tile_X2Y2_N2BEG\[6\],498.04µm
_0263_,497.8µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y1_S4BEG\[10\],496.07µm
_0009_,495.36µm
eFPGA_top_i.FrameData\[312\],492.85µm
_0386_,492.46µm
eFPGA_top_i.FrameData\[70\],491.45µm
eFPGA_top_i.FrameData\[467\],490µm
_0126_,486.82µm
eFPGA_top_i.FrameSelect\[2\],486.24µm
eFPGA_top_i.FrameData\[87\],484.63µm
_0118_,483.34µm
eFPGA_top_i.FrameData\[209\],481.1µm
eFPGA_top_i.FrameData\[71\],478.29µm
eFPGA_top_i.FrameData\[77\],477.09µm
eFPGA_top_i.FrameData\[56\],475.57µm
net84,474.7µm
eFPGA_top_i.FrameData\[432\],474.63µm
net155,473.96µm
eFPGA_top_i.FrameData\[405\],472.17µm
eFPGA_top_i.FrameSelect\[196\],471.49µm
eFPGA_top_i.FrameData\[84\],469.81µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y8_A_I_top,469.65µm
eFPGA_top_i.FrameData\[359\],469.04µm
_0211_,468.94µm
_0444_,467.86µm
eFPGA_top_i.FrameData\[47\],467.39µm
eFPGA_top_i.FrameData\[33\],467.07µm
_0103_,466.48µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_A_T_top,465.65µm
net165,463.6µm
_0273_,462.8µm
eFPGA_top_i.FrameData\[233\],461.75µm
_0184_,461.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y12_B_I_top,459.89µm
eFPGA_top_i.FrameData\[41\],457.97µm
_0362_,457.1µm
eFPGA_top_i.FrameData\[364\],456.97µm
eFPGA_top_i.FrameData\[374\],455.74µm
eFPGA_top_i.FrameData\[59\],454.49µm
eFPGA_top_i.FrameData\[338\],454.45µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y13_FAB2RAM_C_O0,454.15µm
eFPGA_top_i.FrameData\[373\],453.6µm
eFPGA_top_i.FrameData\[55\],452.71µm
eFPGA_top_i.FrameData\[138\],452.21µm
_0449_,450.48µm
net114,450.48µm
_0398_,449.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y5_B_I_top,449.01µm
eFPGA_top_i.FrameData\[99\],448.73µm
eFPGA_top_i.FrameSelect\[21\],448.5µm
eFPGA_top_i.FrameData\[241\],445.74µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y9_A_I_top,442.33µm
eFPGA_top_i.FrameData\[471\],440.54µm
eFPGA_top_i.FrameData\[327\],440.1µm
_0348_,439.89µm
_0123_,439.32µm
net35,438.88µm
eFPGA_top_i.FrameData\[435\],438.57µm
eFPGA_top_i.FrameData\[456\],438.31µm
_0436_,437.76µm
eFPGA_top_i.FrameData\[479\],437.23µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y11_A_I_top,436.85µm
eFPGA_top_i.FrameSelect\[47\],436.35µm
_0108_,435.945µm
_0148_,434.305µm
eFPGA_top_i.FrameData\[261\],434.03µm
eFPGA_top_i.FrameData\[376\],433.79µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y11_A_T_top,432.91µm
eFPGA_top_i.FrameData\[139\],432.57µm
eFPGA_top_i.FrameData\[268\],432.05µm
eFPGA_top_i.FrameData\[57\],432.01µm
eFPGA_top_i.FrameData\[100\],431.73µm
eFPGA_top_i.FrameData\[40\],431.63µm
eFPGA_top_i.FrameSelect\[94\],430.96µm
eFPGA_top_i.FrameData\[164\],430.85µm
net174,430.24µm
eFPGA_top_i.FrameData\[181\],428.35µm
eFPGA_top_i.FrameData\[43\],428.33µm
eFPGA_top_i.FrameData\[319\],428.25µm
eFPGA_top_i.LongFrameStrobe,428.18µm
_0192_,428.02µm
net153,426.38µm
eFPGA_top_i.FrameData\[293\],425.8µm
_0051_,425.405µm
net106,424.92µm
eFPGA_top_i.FrameData\[285\],424.43µm
_0447_,424.14µm
eFPGA_top_i.FrameData\[103\],423.17µm
eFPGA_top_i.FrameAddressRegister\[31\],423.16µm
_0431_,422.745µm
eFPGA_top_i.FrameSelect\[19\],422.22µm
eFPGA_top_i.FrameData\[475\],420.65µm
_0389_,420.32µm
eFPGA_top_i.FrameSelect\[193\],418.45µm
eFPGA_top_i.FrameData\[83\],418.01µm
_0403_,417.74µm
net152,416.92µm
_0309_,416.505µm
net127,416.46µm
eFPGA_top_i.FrameAddressRegister\[30\],416.12µm
eFPGA_top_i.FrameData\[458\],414.51µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y15_FrameStrobe_O\[1\],414.46µm
net131,414.34µm
eFPGA_top_i.FrameAddressRegister\[29\],414.3µm
net107,414.23µm
net211,413.66µm
eFPGA_top_i.FrameSelect\[18\],413.48µm
eFPGA_top_i.FrameData\[38\],412.79µm
_0204_,412.265µm
net47,411.82µm
eFPGA_top_i.FrameData\[413\],411.81µm
_0407_,411.085µm
_0281_,410.585µm
eFPGA_top_i.FrameData\[140\],410.54µm
_0332_,408.245µm
eFPGA_top_i.FrameData\[302\],407.89µm
eFPGA_top_i.FrameData\[50\],406.99µm
eFPGA_top_i.FrameData\[224\],406.39µm
eFPGA_top_i.FrameSelect\[1\],405.34µm
eFPGA_top_i.FrameData\[297\],404.86µm
eFPGA_top_i.FrameData\[367\],404.81µm
eFPGA_top_i.FrameData\[449\],404.19µm
eFPGA_top_i.FrameData\[230\],402.59µm
_0007_,402.305µm
net122,402.16µm
_0241_,401.725µm
eFPGA_top_i.FrameSelect\[153\],398.99µm
net40,398.32µm
eFPGA_top_i.FrameData\[217\],397.94µm
eFPGA_top_i.FrameData\[74\],397.58µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y9_B_T_top,396.55µm
net60,396.06µm
net120,395.94µm
net97,395.32µm
eFPGA_top_i.FrameData\[113\],395.21µm
_0232_,394.825µm
_0221_,394.505µm
eFPGA_top_i.FrameData\[114\],394.07µm
eFPGA_top_i.FrameData\[232\],392.79µm
eFPGA_top_i.FrameData\[115\],392.54µm
eFPGA_top_i.FrameData\[249\],392.45µm
eFPGA_top_i.FrameData\[472\],391.41µm
eFPGA_top_i.FrameData\[322\],391.07µm
eFPGA_top_i.FrameData\[343\],390.82µm
_0248_,390.565µm
_0023_,390.555µm
_0258_,390.485µm
eFPGA_top_i.FrameSelect\[24\],390.34µm
eFPGA_top_i.FrameData\[397\],389.57µm
eFPGA_top_i.FrameSelect\[67\],388.64µm
net145,388.18µm
eFPGA_top_i.FrameData\[51\],387.85µm
_0191_,387.625µm
_0448_,387.42µm
eFPGA_top_i.FrameSelect\[149\],387.03µm
eFPGA_top_i.FrameSelect\[11\],386.38µm
net77,385.96µm
eFPGA_top_i.FrameSelect\[55\],385.65µm
