net,length_um
_0451_,322.68µm
eFPGA_top_i.FrameSelect\[180\],322.47µm
_0326_,322.045µm
eFPGA_top_i.FrameSelect\[100\],321.35µm
_0201_,321.205µm
eFPGA_top_i.FrameData\[444\],321.01µm
_0479_,320.96µm
_0008_,320.445µm
eFPGA_top_i.FrameData\[207\],320.37µm
eFPGA_top_i.FrameData\[438\],320.01µm
eFPGA_top_i.FrameSelect\[140\],318.95µm
eFPGA_top_i.FrameData\[347\],318.34µm
eFPGA_top_i.FrameData\[363\],317.83µm
_0313_,317.465µm
eFPGA_top_i.FrameData\[419\],317.34µm
eFPGA_top_i.FrameData\[137\],316.71µm
_0170_,315.965µm
eFPGA_top_i.FrameData\[162\],315.53µm
eFPGA_top_i.FrameSelect\[46\],315.33µm
eFPGA_top_i.FrameData\[412\],314.66µm
eFPGA_top_i.FrameData\[237\],314.55µm
_0035_,314.34µm
_0331_,313.865µm
eFPGA_top_i.FrameData\[254\],313.67µm
eFPGA_top_i.FrameSelect\[60\],313.3µm
net34,313.24µm
_0060_,313.225µm
_0392_,312.945µm
eFPGA_top_i.FrameData\[125\],312.56µm
eFPGA_top_i.FrameData\[54\],312.13µm
eFPGA_top_i.FrameSelect\[195\],311.43µm
net87,310.88µm
eFPGA_top_i.FrameData\[399\],310.56µm
_0166_,309.905µm
eFPGA_top_i.FrameData\[58\],309.52µm
net81,309.4µm
net92,309.06µm
eFPGA_top_i.FrameData\[272\],308.81µm
eFPGA_top_i.FrameSelect\[141\],308.37µm
_0111_,307.325µm
_0401_,306.735µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y5_B_T_top,306.55µm
eFPGA_top_i.FrameData\[134\],305.73µm
eFPGA_top_i.FrameSelect\[85\],305.38µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_B_T_top,304.97µm
_0330_,304.615µm
eFPGA_top_i.FrameData\[271\],301.76µm
eFPGA_top_i.FrameData\[252\],301.73µm
_0155_,300.745µm
eFPGA_top_i.FrameData\[96\],300.59µm
eFPGA_top_i.FrameSelect\[89\],300.5µm
_0379_,299.785µm
eFPGA_top_i.FrameData\[332\],299.51µm
eFPGA_top_i.FrameData\[445\],299.1µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y11_B_I_top,297.37µm
eFPGA_top_i.FrameSelect\[31\],296.78µm
eFPGA_top_i.FrameSelect\[120\],296.75µm
eFPGA_top_i.FrameSelect\[54\],295.49µm
_0044_,295.445µm
_0226_,295.425µm
_0324_,295.425µm
eFPGA_top_i.FrameSelect\[82\],295.36µm
net79,295.32µm
eFPGA_top_i.FrameData\[227\],294.63µm
eFPGA_top_i.FrameData\[410\],294.37µm
eFPGA_top_i.FrameData\[143\],294.21µm
net111,294.17µm
eFPGA_top_i.FrameData\[159\],294.08µm
eFPGA_top_i.FrameData\[305\],293.99µm
_0394_,293.82µm
net163,293.505µm
eFPGA_top_i.FrameData\[183\],293.46µm
_0323_,293.335µm
eFPGA_top_i.FrameData\[300\],293.26µm
eFPGA_top_i.FrameData\[42\],293.07µm
net86,292.94µm
eFPGA_top_i.FrameSelect\[6\],292.64µm
eFPGA_top_i.FrameData\[176\],292.05µm
_0056_,291.24µm
_0363_,291.045µm
_0311_,290.88µm
eFPGA_top_i.FrameData\[44\],290.61µm
eFPGA_top_i.FrameSelect\[93\],290.38µm
_0136_,290.145µm
_0293_,290.055µm
eFPGA_top_i.FrameData\[186\],289.56µm
eFPGA_top_i.FrameData\[231\],289.37µm
eFPGA_top_i.FrameData\[426\],287.99µm
eFPGA_top_i.FrameSelect\[40\],287.67µm
net158,287.46µm
eFPGA_top_i.FrameData\[262\],286.17µm
_0141_,286.165µm
_0010_,286.105µm
eFPGA_top_i.FrameSelect\[70\],286.06µm
eFPGA_top_i.FrameData\[65\],285.37µm
_0104_,283.995µm
eFPGA_top_i.FrameData\[335\],283.99µm
eFPGA_top_i.FrameData\[154\],283.83µm
net109,283.68µm
eFPGA_top_i.FrameData\[245\],283.65µm
eFPGA_top_i.FrameData\[185\],283.22µm
eFPGA_top_i.FrameData\[378\],283.01µm
eFPGA_top_i.FrameSelect\[88\],282.76µm
eFPGA_top_i.FrameData\[342\],282.53µm
eFPGA_top_i.FrameData\[117\],282.49µm
_0423_,282.44µm
eFPGA_top_i.FrameData\[228\],282.33µm
eFPGA_top_i.FrameData\[414\],282.23µm
eFPGA_top_i.FrameSelect\[86\],281.92µm
eFPGA_top_i.FrameSelect\[78\],281.46µm
eFPGA_top_i.FrameData\[238\],281.33µm
_0168_,281.205µm
eFPGA_top_i.FrameData\[129\],281.14µm
_0341_,281.125µm
eFPGA_top_i.FrameSelect\[103\],281.07µm
eFPGA_top_i.FrameData\[422\],281.03µm
net161,280.38µm
eFPGA_top_i.FrameData\[296\],280.11µm
_0189_,279.885µm
eFPGA_top_i.FrameData\[121\],279.39µm
eFPGA_top_i.FrameData\[89\],278.65µm
eFPGA_top_i.FrameData\[377\],278.45µm
eFPGA_top_i.FrameSelect\[95\],278.42µm
_0172_,278.085µm
eFPGA_top_i.FrameData\[90\],278.02µm
_0107_,277.805µm
eFPGA_top_i.FrameSelect\[39\],277.78µm
eFPGA_top_i.FrameData\[385\],276.81µm
net83,276.26µm
eFPGA_top_i.FrameSelect\[107\],276.01µm
_0252_,275.045µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y1_FAB2RAM_C_O0,274.57µm
net128,274.12µm
_0461_,274.06µm
eFPGA_top_i.FrameData\[111\],274.03µm
eFPGA_top_i.FrameData\[78\],273.96µm
eFPGA_top_i.FrameData\[307\],273.65µm
eFPGA_top_i.FrameData\[102\],273.57µm
_0027_,273.185µm
eFPGA_top_i.FrameSelect\[77\],273.18µm
eFPGA_top_i.FrameData\[267\],272.95µm
eFPGA_top_i.FrameData\[333\],272.87µm
eFPGA_top_i.FrameData\[279\],272.85µm
_0086_,272.285µm
eFPGA_top_i.FrameData\[448\],271.93µm
eFPGA_top_i.FrameData\[441\],271.12µm
eFPGA_top_i.FrameSelect\[125\],271.06µm
eFPGA_top_i.FrameData\[317\],270.7µm
_0197_,270.645µm
eFPGA_top_i.FrameSelect\[20\],270.64µm
eFPGA_top_i.FrameSelect\[126\],270.6µm
eFPGA_top_i.FrameData\[104\],270.46µm
eFPGA_top_i.FrameSelect\[84\],270.42µm
eFPGA_top_i.FrameData\[116\],270.23µm
eFPGA_top_i.FrameData\[244\],270.18µm
eFPGA_top_i.FrameSelect\[163\],270.03µm
eFPGA_top_i.FrameData\[149\],269.9µm
eFPGA_top_i.FrameSelect\[112\],269.11µm
eFPGA_top_i.FrameData\[94\],269.03µm
eFPGA_top_i.FrameData\[49\],268.67µm
eFPGA_top_i.FrameData\[122\],268.33µm
eFPGA_top_i.FrameData\[179\],268.33µm
eFPGA_top_i.FrameSelect\[143\],268.19µm
net71,268.12µm
eFPGA_top_i.FrameSelect\[58\],267.89µm
eFPGA_top_i.FrameSelect\[118\],267.61µm
_0154_,266.805µm
_0287_,266.765µm
eFPGA_top_i.FrameData\[469\],266.38µm
net69,266.28µm
eFPGA_top_i.FrameData\[79\],266.25µm
eFPGA_top_i.FrameData\[292\],265.29µm
_0207_,265.245µm
net74,264.58µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y3_B_T_top,264.51µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y14_B_I_top,264.13µm
eFPGA_top_i.FrameData\[406\],264.12µm
_0048_,264.025µm
eFPGA_top_i.FrameData\[366\],263.9µm
eFPGA_top_i.FrameData\[69\],263.63µm
_0174_,263.545µm
eFPGA_top_i.FrameData\[337\],263.11µm
net272,263.08µm
_0157_,263.06µm
eFPGA_top_i.FrameData\[196\],263.01µm
_0224_,262.96µm
_0450_,262.66µm
eFPGA_top_i.FrameData\[273\],262.59µm
eFPGA_top_i.FrameData\[97\],262.53µm
net139,262.46µm
eFPGA_top_i.FrameData\[351\],262.39µm
_0065_,261.825µm
eFPGA_top_i.FrameData\[124\],261.71µm
eFPGA_top_i.FrameData\[281\],261.57µm
eFPGA_top_i.FrameData\[350\],260.88µm
_0142_,260.845µm
eFPGA_top_i.FrameData\[219\],260.52µm
_0334_,260.395µm
_0277_,260.32µm
_0329_,260.26µm
net151,260.06µm
eFPGA_top_i.FrameData\[211\],260.03µm
_0030_,259.965µm
_0057_,259.765µm
net273,259.74µm
_0077_,259.51µm
eFPGA_top_i.FrameSelect\[4\],259.5µm
eFPGA_top_i.FrameSelect\[38\],259.4µm
eFPGA_top_i.FrameData\[110\],258.88µm
_0227_,258.325µm
_0283_,257.605µm
_0203_,257.545µm
_0457_,257µm
eFPGA_top_i.FrameData\[239\],256.81µm
eFPGA_top_i.FrameData\[127\],255.85µm
eFPGA_top_i.FrameData\[198\],255.67µm
eFPGA_top_i.FrameData\[274\],255.58µm
eFPGA_top_i.FrameData\[112\],255.53µm
eFPGA_top_i.FrameData\[130\],255.33µm
_0228_,255.285µm
eFPGA_top_i.FrameData\[223\],254.92µm
_0372_,254.24µm
_0138_,253.885µm
eFPGA_top_i.FrameData\[247\],253.02µm
eFPGA_top_i.FrameData\[235\],252.97µm
eFPGA_top_i.FrameSelect\[114\],252.25µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y14_A_I_top,252.11µm
_0180_,250.985µm
_0233_,250.76µm
_0442_,250.745µm
eFPGA_top_i.FrameData\[473\],250.56µm
_0097_,250.52µm
eFPGA_top_i.FrameSelect\[52\],250.43µm
_0314_,250.235µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_B_I_top,249.75µm
_0434_,249.715µm
eFPGA_top_i.FrameData\[82\],249.55µm
eFPGA_top_i.FrameData\[213\],249.46µm
eFPGA_top_i.FrameData\[153\],249.01µm
net274,248.91µm
eFPGA_top_i.FrameSelect\[28\],248.72µm
eFPGA_top_i.FrameSelect\[34\],248.72µm
eFPGA_top_i.FrameData\[416\],248.48µm
net49,248.04µm
_0438_,247.895µm
net39,247.7µm
_0360_,247.405µm
eFPGA_top_i.FrameData\[348\],247.11µm
eFPGA_top_i.FrameData\[126\],246.57µm
net171,246.16µm
eFPGA_top_i.FrameData\[171\],245.67µm
eFPGA_top_i.FrameData\[381\],245.59µm
eFPGA_top_i.FrameData\[309\],245.51µm
eFPGA_top_i.FrameData\[243\],245.42µm
eFPGA_top_i.FrameData\[163\],244.77µm
_0244_,244.185µm
net82,244.06µm
_0482_,243.9µm
_0411_,243.42µm
eFPGA_top_i.FrameSelect\[139\],242.66µm
net100,241.88µm
eFPGA_top_i.FrameData\[280\],241.87µm
_0475_,241.46µm
net62,241.22µm
_0079_,241.18µm
net70,241.02µm
net85,240.56µm
eFPGA_top_i.FrameData\[204\],240.09µm
eFPGA_top_i.FrameSelect\[72\],239.9µm
eFPGA_top_i.FrameSelect\[102\],239.75µm
_0346_,239.565µm
eFPGA_top_i.FrameSelect\[32\],239.52µm
eFPGA_top_i.FrameData\[34\],239.39µm
eFPGA_top_i.FrameData\[316\],238.77µm
eFPGA_top_i.FrameSelect\[65\],238.22µm
net276,237.98µm
eFPGA_top_i.FrameData\[345\],236.87µm
_0002_,236.685µm
eFPGA_top_i.FrameData\[133\],236.45µm
net63,236.38µm
eFPGA_top_i.FrameData\[344\],235.91µm
eFPGA_top_i.FrameData\[157\],234.83µm
eFPGA_top_i.FrameData\[340\],234.61µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y1_FAB2RAM_D2_O0,234.49µm
_0377_,234.345µm
_0391_,234.345µm
eFPGA_top_i.FrameSelect\[119\],234.31µm
eFPGA_top_i.FrameData\[346\],233.93µm
_0128_,233.765µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y1_FAB2RAM_D2_O1,233.49µm
_0140_,233.44µm
eFPGA_top_i.FrameData\[477\],233.39µm
_0110_,233.01µm
_0351_,232.78µm
eFPGA_top_i.FrameData\[288\],232.67µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y9_B_I_top,232.21µm
eFPGA_top_i.FrameData\[151\],232.17µm
eFPGA_top_i.FrameData\[437\],231.97µm
_0321_,231.885µm
eFPGA_top_i.FrameData\[75\],231.55µm
_0158_,230.905µm
net96,229.98µm
eFPGA_top_i.FrameData\[188\],229.83µm
eFPGA_top_i.FrameData\[418\],229.76µm
_0147_,229.52µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y14_A_T_top,229.17µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y2_N2BEG\[6\],228.98µm
eFPGA_top_i.FrameSelect\[117\],228.51µm
eFPGA_top_i.FrameSelect\[23\],227.62µm
eFPGA_top_i.FrameData\[417\],227.34µm
eFPGA_top_i.FrameData\[295\],227.29µm
eFPGA_top_i.FrameSelect\[97\],226.9µm
net14,226.57µm
eFPGA_top_i.FrameData\[141\],226.06µm
eFPGA_top_i.FrameData\[184\],225.12µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y6_A_T_top,224.73µm
eFPGA_top_i.FrameData\[392\],224.68µm
eFPGA_top_i.FrameSelect\[150\],223.57µm
_0312_,223.205µm
_0216_,222.745µm
eFPGA_top_i.FrameSelect\[62\],221.66µm
_0481_,221.1µm
eFPGA_top_i.FrameData\[147\],221.06µm
_0034_,220.96µm
_0322_,220.945µm
eFPGA_top_i.FrameData\[88\],220.91µm
_0031_,220.82µm
eFPGA_top_i.FrameSelect\[22\],220.3µm
_0452_,219.82µm
eFPGA_top_i.FrameData\[276\],219.79µm
eFPGA_top_i.FrameSelect\[166\],219.43µm
eFPGA_top_i.FrameData\[98\],218.64µm
eFPGA_top_i.FrameData\[168\],218.61µm
eFPGA_top_i.FrameData\[463\],218.44µm
eFPGA_top_i.FrameData\[391\],217.93µm
_0145_,217.575µm
eFPGA_top_i.FrameData\[48\],217.52µm
_0015_,217.165µm
net176,216.92µm
_0366_,216.725µm
_0210_,216.585µm
eFPGA_top_i.FrameSelect\[173\],216.09µm
eFPGA_top_i.FrameSelect\[13\],215.7µm
net42,215.62µm
eFPGA_top_i.FrameSelect\[123\],215.1µm
eFPGA_top_i.FrameData\[464\],214.53µm
_0316_,214.425µm
_0072_,214.365µm
eFPGA_top_i.FrameSelect\[80\],214.3µm
eFPGA_top_i.FrameData\[476\],214.25µm
_0176_,214.045µm
eFPGA_top_i.FrameSelect\[199\],212.83µm
eFPGA_top_i.FrameData\[210\],212.13µm
_0367_,212.065µm
eFPGA_top_i.FrameData\[421\],211.09µm
net55,211µm
_0415_,210.785µm
net117,210.42µm
_0236_,210.325µm
eFPGA_top_i.FrameSelect\[101\],210.23µm
eFPGA_top_i.FrameSelect\[73\],210.16µm
_0304_,209.685µm
eFPGA_top_i.FrameData\[357\],209.43µm
_0164_,209.345µm
_0247_,208.265µm
net72,207.92µm
eFPGA_top_i.FrameData\[251\],207.76µm
net142,207.66µm
_0335_,207.505µm
eFPGA_top_i.FrameData\[336\],207.37µm
_0257_,207.005µm
eFPGA_top_i.FrameSelect\[152\],206.59µm
eFPGA_top_i.FrameData\[67\],206.24µm
eFPGA_top_i.FrameData\[289\],206.19µm
_0033_,205.565µm
_0288_,204.505µm
_0417_,204.34µm
eFPGA_top_i.FrameSelect\[157\],204.33µm
eFPGA_top_i.FrameData\[73\],203.91µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y1_FAB2RAM_D0_O0,203.87µm
net195,203.82µm
eFPGA_top_i.FrameData\[383\],203.78µm
eFPGA_top_i.FrameData\[287\],203.67µm
eFPGA_top_i.FrameData\[299\],203.57µm
_0408_,202.94µm
_0443_,202.78µm
_0333_,202.505µm
net3,202.31µm
_0178_,202.285µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y13_B_I_top,202.21µm
_0358_,202.205µm
net66,202.02µm
eFPGA_top_i.FrameSelect\[12\],201.9µm
_0272_,201.805µm
net65,201.46µm
_0183_,200.7µm
eFPGA_top_i.FrameData\[208\],200.48µm
_0405_,199.805µm
eFPGA_top_i.FrameSelect\[7\],199.6µm
_0296_,199.585µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y2_A_T_top,199.47µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y13_B_T_top,199.09µm
net121,199.04µm
_0480_,198.7µm
eFPGA_top_i.FrameSelect\[37\],198.12µm
eFPGA_top_i.FrameData\[320\],197.87µm
eFPGA_top_i.FrameData\[214\],197.45µm
net126,197.02µm
eFPGA_top_i.FrameSelect\[192\],196.97µm
eFPGA_top_i.FrameData\[443\],196.58µm
net119,196.08µm
eFPGA_top_i.FrameSelect\[74\],195.74µm
_0012_,195.7µm
_0193_,195.105µm
_0325_,194.905µm
eFPGA_top_i.FrameData\[403\],194.86µm
_0059_,194.825µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y12_A_I_top,194.81µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y3_A_T_top,194.81µm
_0474_,194.72µm
_0032_,194.685µm
eFPGA_top_i.FrameSelect\[53\],194.59µm
eFPGA_top_i.FrameSelect\[75\],192.98µm
eFPGA_top_i.FrameSelect\[44\],192.91µm
eFPGA_top_i.FrameData\[368\],192.23µm
net116,191.98µm
_0388_,191.48µm
eFPGA_top_i.FrameData\[120\],191.11µm
_0101_,190.965µm
eFPGA_top_i.FrameData\[266\],190.61µm
eFPGA_top_i.FrameData\[371\],190.23µm
eFPGA_top_i.FrameSelect\[106\],190.15µm
eFPGA_top_i.FrameSelect\[48\],190.15µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y14_B_T_top,189.97µm
_0243_,189.785µm
eFPGA_top_i.FrameData\[446\],189.74µm
eFPGA_top_i.FrameData\[375\],189.56µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_A_T_top,189.25µm
_0271_,189.205µm
eFPGA_top_i.FrameData\[174\],188.83µm
eFPGA_top_i.FrameSelect\[113\],188.03µm
_0239_,187.865µm
eFPGA_top_i.FrameData\[220\],187.43µm
net115,187.14µm
net210,186.82µm
_0122_,186.545µm
_0025_,185.945µm
eFPGA_top_i.FrameData\[259\],185.81µm
eFPGA_top_i.FrameSelect\[145\],185.73µm
_0094_,185.705µm
net43,185.48µm
_0307_,184.865µm
_0399_,184.645µm
eFPGA_top_i.FrameData\[315\],184.57µm
eFPGA_top_i.FrameSelect\[91\],184.24µm
_0424_,183.725µm
_0054_,183.365µm
eFPGA_top_i.FrameSelect\[146\],183.13µm
eFPGA_top_i.FrameData\[451\],182.99µm
eFPGA_top_i.FrameData\[85\],182.98µm
eFPGA_top_i.FrameSelect\[17\],182.78µm
_0409_,182.7µm
eFPGA_top_i.FrameData\[195\],181.93µm
net124,181.82µm
eFPGA_top_i.FrameSelect\[184\],181.33µm
_0302_,181.045µm
eFPGA_top_i.FrameData\[175\],181.03µm
eFPGA_top_i.FrameSelect\[144\],180.87µm
eFPGA_top_i.FrameSelect\[191\],180.41µm
_0295_,179.965µm
_0005_,179.805µm
eFPGA_top_i.FrameData\[260\],179.79µm
eFPGA_top_i.FrameData\[264\],179.48µm
net228,178.46µm
net73,178.38µm
eFPGA_top_i.FrameSelect\[59\],178.19µm
eFPGA_top_i.FrameData\[155\],177.99µm
eFPGA_top_i.FrameSelect\[177\],177.57µm
eFPGA_top_i.FrameData\[205\],177.51µm
_0292_,177.325µm
eFPGA_top_i.FrameData\[354\],177.25µm
eFPGA_top_i.FrameData\[161\],177.21µm
_0327_,177.085µm
eFPGA_top_i.FrameData\[384\],176.79µm
net137,176.7µm
net58,176.42µm
eFPGA_top_i.FrameData\[167\],175.86µm
eFPGA_top_i.FrameData\[420\],175.75µm
net89,175.74µm
_0354_,175.585µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y4_B_T_top,175.51µm
eFPGA_top_i.FrameData\[177\],175.24µm
_0294_,174.925µm
net147,174.86µm
_0177_,174.38µm
_0251_,173.685µm
eFPGA_top_i.FrameData\[386\],173.55µm
eFPGA_top_i.FrameSelect\[181\],173.51µm
_0062_,173.505µm
_0291_,172.765µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y13_A_I_top,172.59µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y2_N2BEG\[7\],172.22µm
eFPGA_top_i.FrameSelect\[49\],172.21µm
eFPGA_top_i.FrameData\[325\],171.52µm
_0413_,171.505µm
_0245_,170.945µm
eFPGA_top_i.FrameData\[158\],170.17µm
_0298_,170.085µm
eFPGA_top_i.FrameSelect\[25\],169.62µm
net146,169.26µm
eFPGA_top_i.FrameData\[436\],168.95µm
eFPGA_top_i.FrameData\[146\],168.35µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y3_A_I_top,167.59µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y6_B_T_top,167.49µm
_0428_,167.425µm
net56,167.38µm
net44,167.12µm
_0276_,167.1µm
net57,167.02µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y2_N1BEG\[0\],166.66µm
eFPGA_top_i.FrameSelect\[171\],166.61µm
net154,165.88µm
_0432_,165.695µm
eFPGA_top_i.FrameData\[255\],165.46µm
_0237_,165.085µm
eFPGA_top_i.FrameData\[401\],164.67µm
eFPGA_top_i.FrameData\[408\],164.47µm
_0053_,164.38µm
eFPGA_top_i.FrameData\[283\],164.29µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y2_FAB2RAM_D3_O3,164.18µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y14_FAB2RAM_D3_O3,164.14µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y4_FAB2RAM_D3_O3,164.12µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y12_FAB2RAM_D3_O3,164.06µm
eFPGA_top_i.FrameSelect\[116\],163.93µm
_0113_,163.925µm
_0090_,163.92µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y8_FAB2RAM_D3_O3,163.86µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y10_FAB2RAM_D3_O3,163.74µm
eFPGA_top_i.FrameSelect\[175\],163.31µm
net90,163.035µm
eFPGA_top_i.FrameData\[170\],162.86µm
_0037_,162.665µm
_0127_,162.66µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y8_FAB2RAM_D3_O2,162.66µm
eFPGA_top_i.FrameData\[242\],162.61µm
_0359_,162.385µm
net78,162.26µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y6_FAB2RAM_D3_O2,162.2µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y2_FAB2RAM_D3_O2,162.14µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y14_FAB2RAM_D3_O2,162.1µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y4_FAB2RAM_D3_O2,162.08µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y12_FAB2RAM_D3_O2,162.02µm
_0305_,161.865µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y10_FAB2RAM_D3_O2,161.72µm
eFPGA_top_i.FrameSelect\[45\],161.29µm
eFPGA_top_i.FrameData\[468\],161.25µm
net150,161.22µm
eFPGA_top_i.FrameData\[362\],161.01µm
_0190_,160.725µm
_0297_,160.405µm
net130,160µm
eFPGA_top_i.FrameData\[166\],159.92µm
eFPGA_top_i.FrameData\[323\],159.91µm
net191,159.87µm
_0410_,159.745µm
eFPGA_top_i.FrameData\[361\],159.23µm
eFPGA_top_i.FrameData\[180\],159.03µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y1_B_I_top,158.99µm
eFPGA_top_i.FrameData\[341\],158.87µm
_0416_,158.42µm
_0455_,158.02µm
eFPGA_top_i.FrameSelect\[194\],157.41µm
eFPGA_top_i.FrameData\[387\],157.09µm
eFPGA_top_i.FrameSelect\[186\],156.95µm
_0153_,156.585µm
net140,156.58µm
_0131_,156.545µm
eFPGA_top_i.FrameSelect\[161\],155.95µm
eFPGA_top_i.FrameSelect\[104\],155.83µm
eFPGA_top_i.FrameData\[310\],155.47µm
eFPGA_top_i.FrameData\[145\],155.21µm
eFPGA_top_i.FrameData\[284\],154.68µm
net232,154.52µm
_0083_,154.36µm
_0115_,154.08µm
eFPGA_top_i.FrameData\[427\],153.89µm
_0161_,153.745µm
_0208_,153.665µm
_0255_,153.225µm
_0160_,153.145µm
_0024_,153.065µm
_0384_,152.62µm
eFPGA_top_i.FrameSelect\[105\],152.43µm
_0380_,152.425µm
net32,152.37µm
eFPGA_top_i.FrameData\[240\],152.07µm
_0385_,151.7µm
eFPGA_top_i.FrameData\[169\],150.62µm
net132,150.58µm
_0121_,150.465µm
_0339_,150.465µm
eFPGA_top_i.FrameData\[216\],150.21µm
_0220_,150.145µm
eFPGA_top_i.FrameData\[430\],150.1µm
_0440_,149.74µm
_0284_,149.225µm
eFPGA_top_i.FrameData\[128\],149.09µm
eFPGA_top_i.FrameData\[80\],148.8µm
eFPGA_top_i.FrameSelect\[185\],148.67µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y10_FAB2RAM_A1_O3,148.5µm
eFPGA_top_i.FrameSelect\[42\],148.37µm
_0046_,148.345µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y8_A_T_top,148.31µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y6_FAB2RAM_A1_O3,147.92µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y12_FAB2RAM_A1_O3,147.9µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y2_FAB2RAM_A1_O3,147.86µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y4_FAB2RAM_A1_O3,147.8µm
eFPGA_top_i.FrameData\[314\],147.77µm
eFPGA_top_i.FrameSelect\[128\],147.6µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y8_FAB2RAM_A1_O3,147.54µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y14_FAB2RAM_A1_O3,147.52µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y1_FAB2RAM_D3_O3,147.22µm
eFPGA_top_i.FrameSelect\[176\],146.47µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y10_FAB2RAM_A1_O2,146.46µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y8_FAB2RAM_A1_O2,146.34µm
eFPGA_top_i.FrameSelect\[66\],146.22µm
_0124_,146.205µm
_0063_,145.965µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y6_FAB2RAM_A1_O2,145.88µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y2_FAB2RAM_A1_O2,145.82µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y14_FAB2RAM_A1_O2,145.78µm
_0219_,145.765µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y1_FAB2RAM_D3_O2,145.48µm
eFPGA_top_i.FrameSelect\[168\],145.45µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y12_FAB2RAM_A1_O2,145.44µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y4_FAB2RAM_A1_O2,145.4µm
eFPGA_top_i.FrameData\[461\],145.2µm
eFPGA_top_i.FrameData\[192\],144.89µm
_0439_,144.42µm
_0268_,144.405µm
_0149_,144.305µm
eFPGA_top_i.FrameSelect\[162\],143.99µm
net24,143.95µm
net26,143.95µm
net16,143.83µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y1_FAB2RAM_D3_O1,143.78µm
eFPGA_top_i.FrameSelect\[189\],143.61µm
net9,143.27µm
net13,143.27µm
eFPGA_top_i.FrameData\[234\],143.13µm
net22,142.93µm
eFPGA_top_i.FrameData\[290\],142.87µm
net234,142.86µm
net15,142.81µm
net21,142.81µm
net30,142.79µm
_0017_,142.725µm
net11,142.59µm
eFPGA_top_i.FrameData\[197\],142.46µm
net29,142.33µm
net18,142.25µm
net8,142.13µm
eFPGA_top_i.FrameData\[189\],142.03µm
eFPGA_top_i.FrameSelect\[147\],142.03µm
eFPGA_top_i.FrameData\[407\],142.01µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_A_I_top,141.95µm
